0,0,0,2,230000,10040,939769,,,,,,1,000,2,Ontario,201812,2016,,REALTY,10,,,,4-Financial Loss,,,,,"300,001 - 400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1000000,16987,908770,,,,,,1,000,2,Ontario,201812,2016,,GOVERNMENT,10,,,,3-Personal Injury,,,,,"400,001 - 500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1246973,25179,1684666,,,,,,1,000,2,Ontario,201812,2014,,C. E. and I.,61,,,,4-Financial Loss,,,,,"300,001 - 400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,4457665,0,1299997,,,,,,1,000,2,Ontario,201812,2014,,C. E. and I.,61,,,,9-Other,,,,,"1,000,001 - 2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,3100000,36509,1839407,,,,,,1,000,2,Ontario,201812,2016,,MFG./PROC.,10,,,,1-Bodily Injury,,,,,"1,000,001 - 2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,4,387961,0,680177,,,,,,1,000,2,Ontario,201812,2015,,FARMING,10,,,,1-Bodily Injury,,,,,"800,001 - 900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,944155,88941,800000,,,,,,1,000,2,Ontario,201812,2017,,HEALTH SERV.,10,,,,2-Property Damage,,,,,"800,001 - 900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,289449,5814,1951830,,,,,,1,000,2,Ontario,201812,2015,,B And P SERVICES,10,,,,1-Bodily Injury,,,,,"1,000,001 - 2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,2,192500,0,280000,,,,,,1,000,2,Ontario,201812,2016,,REALTY,62,,,,4-Financial Loss,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,218000,10980,783873,,,,,,1,000,2,Ontario,201812,2015,,MFG./PROC.,61,,,,3-Personal Injury,,,,,"300,001 - 400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,2157625,0,3437355,,,,,,1,000,2,Ontario,201812,2016,,EDUCATION,10,,,,2-Property Damage,,,,,"700,001 - 800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,3,949750,10838,388292,,,,,,1,000,2,Ontario,201812,2018,,GOVERNMENT,10,,,,9-Other,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0.6,400001,0,505001,,,,,,1,000,2,Ontario,201812,2016,,B And P SERVICES,10,,,,1-Bodily Injury,,,,,"400,001 - 500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,2,442968,79788,692981,,,,,,1,000,2,Ontario,201812,2017,,MINING,30,,,,2-Property Damage,,,,,"400,001 - 500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,2706387,29698,765913,,,,,,1,000,2,Ontario,201812,2018,,C. E. and I.,50,,,,2-Property Damage,,,,,"5,000,001 - 10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,4,1112823,920654,583315,,,,,,1,000,2,Ontario,201812,2015,,GOVERNMENT,80,,,,1-Bodily Injury,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
