0,0,0,1,255155,10000,216576,,,,,,1,000,2,Ontario,201812,2014,,,,7405,,,,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,3,415010,33002,0,,,,,,1,000,2,Ontario,201812,2017,,,,1830,,,,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,500000,1888,750000,,,,,,1,000,2,Ontario,201812,2016,,,,2833,,,,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,375000,2425,207908,,,,,,1,000,2,Ontario,201812,2015,,,,5093,,,,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,2,8934145,55257,0,,,,,,1,000,2,Ontario,201812,2015,,,,1621,,,,,,,,"1,000,001 - 2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,235500,16992,164333,,,,,,1,000,2,Ontario,201812,2015,,,,3590,,,,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,1610000,1356294,544461,,,,,,1,000,2,Ontario,201812,2015,,,,5515,,,,,,,,"4,000,001 - 5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,2,1099529,11368,583143,,,,,,1,000,2,Ontario,201812,2014,,,,7938,,,,,,,,"200,001 - 300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,4197732,23658,611643,,,,,,1,000,2,Ontario,201812,2014,,,,6632,,,,,,,,"300,001 - 400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,89026,0,,,,,,1,000,2,Ontario,201812,2018,,,,1101,,,,,,,,"600,001 - 700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,6436409,78482,546046,,,,,,1,000,2,Ontario,201812,2015,,,,8915,,,,,,,,"500,001 - 600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,0,7142,2423542,,,,,,1,000,2,Ontario,201812,2016,,,,4275,,,,,,,,"1,000,001 - 2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,1,690635,0,1144996,,,,,,1,000,2,Ontario,201812,2016,,,,7931,,,,,,,,"2,000,001 - 3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
