0,0,15180,26110.4564,1,0,0,0,0,0,70919,0,4,201812,000,0,OPU,PPV-IR excluding Farmers,,,,,N,1,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,100,,AP,AP,Comprehensive ($500 Deductible) / Accidents sans Collision ni versement (Franchise de 500$),,,29,0,,,200202,,,,,,,,,,,,,,,,,
14.3333,348.7805,0,0,0,0,5,0,6790,0,6259,0,4,201812,000,0,OPU,Snowvehicles -IR,,,,,Y,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,100,,AP,SP,All Perils ($1000 Deductible) / Tous Risques (Franchise de 1000$),,,22,0,,,201301,,,,,,,,,,,,,,,,,
0,0,65899,62579.5633,0,0,0,0,0,0,5210,0,4,201812,000,0,PUB,Drivers' policies,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,105,,AP,CM,Comprehensive ($1000 Deductible) / Accidents sans Collision ni versement (Franchise de 1000$),,,27,,,,201102,,,,,,,,,,,,,,,,0,
0,0,345,494.6179,0,0,0,0,0,0,0,0,4,201812,000,0,OPU,ATV -IR,,,,,N,1,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,102,,CM,CM,All Perils ($250 Deductible) / Tous Risques (Franchise de 250$),,,,,,,201701,,,,,,,,,,,,,,,,,838
0,0,0,24887.1146,0,0,0,0,7255,266,0,0,4,201812,000,0,OPU,Interurban trucks-IR,,,,,N,1,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,102,,CM,CM,Comprehensive ($250 Deductible) / Accidents sans Collision ni versement (Franchise de 250$),,,27,0,,,200402,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,1,0,440,707,9108,0,4,201812,000,0,PPV,Ambulances,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,100,,AP,SP,All Perils ($0 Deductible) / Tous Risques (Franchise de 0$),,,,0,,,200901,,,,,,,,,,,,,,,,,
0,0,-41,690828.0874,0,0,0,0,0,555,0,0,4,201812,000,0,COM,Antique and classic,,,,,N,1,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,100,,AP,AP,All Perils ($0 Deductible) / Tous Risques (Franchise de 0$),,,,,,,200402,,,,,,,,,,,,,,1,,,1468
0,18322.1042,0,0,0,0,0,0,0,0,40295,0,4,201812,000,0,OPU,Motorhomes-IR,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,101,,CM,ENTRUST_CM,All Perils ($250 Deductible) / Tous Risques (Franchise de 250$),,,20,,,,201402,,,,,,,,,,,,,,,,,
11.5833,0.8632,3470,0,0,1,0,0,7132,0,0,0,4,201812,000,0,COM,ATV -IR,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,100,,AP,AP,Specified Perils ($1000+ Deductible) / Risques Specifies (Franchise de 1000$+),,,22,0,,,201602,,,,,,,,,,,,,,4,,,
0,0,-37,1790.0218,0,0,0,0,0,0,0,0,4,201812,000,0,COM,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,102,,CM,CM,Comprehensive ($500 Deductible) / Accidents sans Collision ni versement (Franchise de 500$),,,,0,,,200802,,,,,,,,,,,,,,,,,
0,0,257,885.4806,9,0,0,0,0,0,0,0,4,201812,000,0,OPU,PPV-IR excluding Farmers,,,,,Y,1,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,101,,SP,SP,Specified Perils ($250 Deductible) / Risques Specifies (Franchise de 250$),,,27,0,,,200201,,,,,,,,,,,,,20030812,,,,
0,0,42616,2603.0332,0,0,0,0,24468,0,0,0,4,201812,000,0,PPV,Manufacturers,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,100,,AP,AP,Comprehensive ($500 Deductible) / Accidents sans Collision ni versement (Franchise de 500$),,,,,,,200302,,,,,,,,,,,,,,,,,
0,0,1273,12858.7348,0,0,0,0,39584,248,2799,0,4,201812,000,0,OPU,Commercial-IR,,,,,N,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,102,,SP,SP,All Perils ($0 Deductible) / Tous Risques (Franchise de 0$),,,,0,,,201501,,,,,,,,,,,,,20100711,,,,
0.75,0,0,1016.2133,0,22,0,0,0,707,424339,0,4,201812,000,0,MIS,Motorhomes-IR,,,,,N,1,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,105,,CM,CM,Specified Perils ($250 Deductible) / Risques Specifies (Franchise de 250$),,,20,,,,201401,,,,,,,,,,,,,,,,,
394.5833,0,0,4171.7134,0,1,0,0,38658,0,0,0,4,201812,000,0,GAR,Trailer Homes-IR,,,,,Y,0,,,,,,,,,,,,,,,,,,,,1 - Alberta,,AB,102,,CM,CM,Comprehensive (Other deductibles) / Accidents sans Collision ni versement (Autre franchise),,,,,,,200201,,,,,,,,,,,,,,,,3529,
