0,0,0,0,0,1,0,0,0,0,0,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,UM,TPL,Comprehensive ($500 Deductible) / Accidents sans Collision ni versement (Franchise de 500$),,,,,1,,201701,,,,,,,,,,,,
0,0,0,0,0,0,10,0,0,0,26431,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,1,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,AP,CL,Collision ($500 Deductible) / Collision (Franchise de 500$),"$200,000 / 200 000$",,04,,1,201201,201502,,,,,,,,,,,,
12.9167,0,0,0,3,318,0,0,11331,67423,7028,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,CM,AP,,,,,0,,201602,200701,,,,,,,,,,,,
0,1252.0833,0,-20.624,1,0,4,0,0,0,1142,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,1,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,UA,AB,,"$1000,000 / 1000 000$",,,,1,200602,199901,,,,,,,,,,,,
0,12.9251,0,4168.5831,0,1,1,0,20440,480,334,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,AB,TPL,Comprehensive ($500 Deductible) / Accidents sans Collision ni versement (Franchise de 500$),"$500,000 / 500 000$",,09,0,2,201301,200701,,,,,,,,,,,,
0,0,55,1909.9125,3,1,0,0,0,0,19365,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,AB,,,,20,,2,201601,201701,,,,,,,,,,,,
0,0,0,0,0,20,0,0,5280736,0,0,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,AP,,,,15,0,1,201002,201002,,,,,,,,,,,,
0,0,0,129.904,1,1,18,0,0,5000,0,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,1,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,AB,Comprehensive ($500 Deductible) / Accidents sans Collision ni versement (Franchise de 500$),"$500,000 / 500 000$",,20,0,1,201601,200002,,,,,,,,,,,,
0,0,-127,39.8164,0,29,0,0,22,0,6986,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,CL,,,,,0,,201302,201201,,,,,,,,,,,,
0,-1.1098,0,0,19,1,0,0,43170,0,513355,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,CM,TPL,Specified Perils ($1000 Deductible) / Risques Specifies (Franchise de 1000$),,,,,,200802,201702,,,,,,,,,,,,
0,0,109,-1.1109,0,0,1,0,0,0,0,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,CL,AP,All Perils ($250 Deductible) / Tous Risques (Franchise de 250$),,,,,1,,200402,,,,,,,,,,,,
0,0,0,0,0,0,0,0,3512,0,0,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,TPL,Comprehensive ($250 Deductible) / Accidents sans Collision ni versement (Franchise de 250$),"$1000,000 / 1000 000$",,,0,,201802,200601,,,,,,,,,,,,
0,-0.0465,0,50.667,1,0,0,0,314398,1290,0,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,CM,,,,,0,2,200201,199902,,,,,,,,,,,,
0,110.6475,0,0,0,12,2,0,3800,128170,15626,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,1,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,AB,UA,Collision ($300 Deductible) / Collision (Franchise de 300$),All Other Limits / Tous les autres montants,,,0,1,200801,200502,,,,,,,,,,,,
0,0,-145,0,0,0,4,0,1238,56,597,0,1,201812,000,0,PPV,PPV-IR excluding Farmers,,,,,N,0,,,,,,,,,,,,,,,,,,,,4 - Atlantics,,NB,,,TPL,CL,,,,02,0,,200401,200202,,,,,,,,,,,,
